Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,185,16,T:System.Windows.Forms.DialogResult,,,,,"if (DialogResult.OK != MessageBox.Show(""Create folder '""+Path.GetDirectoryName(wallpaperPath)+""'>\n\nOk: Creates folder for backgrounds\nCancel doesn't change background image."", ""Installation folder for background not found!"", MessageBoxButtons.OKCancel, MessageBoxIcon.Exclamation)) {                      return;                  }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,185,16,F:System.Windows.Forms.DialogResult.OK,,,,,"if (DialogResult.OK != MessageBox.Show(""Create folder '""+Path.GetDirectoryName(wallpaperPath)+""'>\n\nOk: Creates folder for backgrounds\nCancel doesn't change background image."", ""Installation folder for background not found!"", MessageBoxButtons.OKCancel, MessageBoxIcon.Exclamation)) {                      return;                  }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,184,16,T:System.Windows.Forms.Cursor,,,,,Cursor.Show();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,184,16,M:System.Windows.Forms.Cursor.Show,,,,,Cursor.Show();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,178,28,T:System.Drawing.SolidBrush,,,,,"g.DrawString(path, font, new SolidBrush(Color.White), bounds.Left, bounds.Top);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,178,28,M:System.Drawing.SolidBrush.#ctor(System.Drawing.Color),,,,,"g.DrawString(path, font, new SolidBrush(Color.White), bounds.Left, bounds.Top);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,178,28,"M:System.Drawing.Graphics.DrawString(System.String,System.Drawing.Font,System.Drawing.Brush,System.Single,System.Single)",,,,,"g.DrawString(path, font, new SolidBrush(Color.White), bounds.Left, bounds.Top);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,177,28,T:System.Drawing.SolidBrush,,,,,"g.DrawString(path, font, new SolidBrush(Color.Black), bounds.Left + 1, bounds.Top + 1);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,177,28,M:System.Drawing.SolidBrush.#ctor(System.Drawing.Color),,,,,"g.DrawString(path, font, new SolidBrush(Color.Black), bounds.Left + 1, bounds.Top + 1);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,177,28,"M:System.Drawing.Graphics.DrawString(System.String,System.Drawing.Font,System.Drawing.Brush,System.Single,System.Single)",,,,,"g.DrawString(path, font, new SolidBrush(Color.Black), bounds.Left + 1, bounds.Top + 1);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,176,28,T:System.Drawing.Font,,,,,"Font font = new Font(""Arial"", 10);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,176,28,"M:System.Drawing.Font.#ctor(System.String,System.Single)",,,,,"Font font = new Font(""Arial"", 10);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,171,28,T:System.Drawing.GraphicsUnit,,,,,"g.DrawImage(image, Constants.FitIntoBounds(Rectangle.Round(image.GetBounds(ref units)), bounds, this.screensaver.config.getPersistantBool(""wallpaperStretchSmall""), this.screensaver.config.getPersistantString(""wallpaperFitTo"") == ""cover""), 0, 0, image.Width, image.Height, GraphicsUnit.Pixel);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,171,28,T:System.Drawing.GraphicsUnit,,,,,"g.DrawImage(image, Constants.FitIntoBounds(Rectangle.Round(image.GetBounds(ref units)), bounds, this.screensaver.config.getPersistantBool(""wallpaperStretchSmall""), this.screensaver.config.getPersistantString(""wallpaperFitTo"") == ""cover""), 0, 0, image.Width, image.Height, GraphicsUnit.Pixel);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,171,28,F:System.Drawing.GraphicsUnit.Pixel,,,,,"g.DrawImage(image, Constants.FitIntoBounds(Rectangle.Round(image.GetBounds(ref units)), bounds, this.screensaver.config.getPersistantBool(""wallpaperStretchSmall""), this.screensaver.config.getPersistantString(""wallpaperFitTo"") == ""cover""), 0, 0, image.Width, image.Height, GraphicsUnit.Pixel);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,171,28,P:System.Drawing.Image.Height,,,,,"g.DrawImage(image, Constants.FitIntoBounds(Rectangle.Round(image.GetBounds(ref units)), bounds, this.screensaver.config.getPersistantBool(""wallpaperStretchSmall""), this.screensaver.config.getPersistantString(""wallpaperFitTo"") == ""cover""), 0, 0, image.Width, image.Height, GraphicsUnit.Pixel);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,171,28,P:System.Drawing.Image.Width,,,,,"g.DrawImage(image, Constants.FitIntoBounds(Rectangle.Round(image.GetBounds(ref units)), bounds, this.screensaver.config.getPersistantBool(""wallpaperStretchSmall""), this.screensaver.config.getPersistantString(""wallpaperFitTo"") == ""cover""), 0, 0, image.Width, image.Height, GraphicsUnit.Pixel);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,171,28,M:System.Drawing.Image.GetBounds(System.Drawing.GraphicsUnit@),,,,,"g.DrawImage(image, Constants.FitIntoBounds(Rectangle.Round(image.GetBounds(ref units)), bounds, this.screensaver.config.getPersistantBool(""wallpaperStretchSmall""), this.screensaver.config.getPersistantString(""wallpaperFitTo"") == ""cover""), 0, 0, image.Width, image.Height, GraphicsUnit.Pixel);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,171,28,"M:System.Drawing.Graphics.DrawImage(System.Drawing.Image,System.Drawing.Rectangle,System.Int32,System.Int32,System.Int32,System.Int32,System.Drawing.GraphicsUnit)",,,,,"g.DrawImage(image, Constants.FitIntoBounds(Rectangle.Round(image.GetBounds(ref units)), bounds, this.screensaver.config.getPersistantBool(""wallpaperStretchSmall""), this.screensaver.config.getPersistantString(""wallpaperFitTo"") == ""cover""), 0, 0, image.Width, image.Height, GraphicsUnit.Pixel);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,166,28,T:System.Drawing.GraphicsUnit,,,,,"g.DrawImage(image, dest, source, GraphicsUnit.Pixel, imageAttributes, null);"
